,tweet_id,handle,retweet_count,text,mined_at,created_at
0,1232061971148746754,BarackObama,42859,"After a lifetime of reaching for the stars, today, Katherine Johnson landed among them. She spent decades as a hidden figure, breaking barriers behind the scenes. But by the end of her life, she had become a hero to millions—including Michelle and me. https://t.co/isG29nwBiB",2020-02-26 16:11:11.744870,Mon Feb 24 21:57:19 +0000 2020
1,1230878481543725056,BarackObama,32362,"Happy birthday to one of my heroes — someone who believed our right to vote was more important than his own life. Thanks for making good trouble for 80 years, @repjohnlewis. https://t.co/LqMuvmpbLp",2020-02-26 16:11:11.745871,Fri Feb 21 15:34:33 +0000 2020
2,1229931441624145920,BarackObama,15789,"Here are a couple of articles that are worth reading — from housing to health, these stories use data to explore challenges we face and demonstrate how policy solutions along with civic engagement can make a real difference in people’s lives.
https://t.co/G6EIUwuMqV",2020-02-26 16:11:11.745871,Wed Feb 19 00:51:21 +0000 2020
3,1229432034650722304,BarackObama,115739,"Eleven years ago today, near the bottom of the worst recession in generations, I signed the Recovery Act, paving the way for more than a decade of economic growth and the longest streak of job creation in American history. https://t.co/BmdXrxUAUf",2020-02-26 16:11:11.745871,Mon Feb 17 15:46:53 +0000 2020
4,1228373460616962048,BarackObama,58816,"Happy Valentine’s Day to my forever dance partner, @MichelleObama. https://t.co/lHvTGUwEHr",2020-02-26 16:11:11.745871,Fri Feb 14 17:40:29 +0000 2020
5,1227978620926296064,BarackObama,15784,"What a great example of citizenship, what each of us can do to make a difference for all of us: https://t.co/YxsvONUuVl",2020-02-26 16:11:11.745871,Thu Feb 13 15:31:32 +0000 2020
6,1227337897692495873,BarackObama,53608,"Even if the methods are new, sowing the seeds of doubt, division, and discord to turn Americans against each other is an old trick. The antidote is citizenship: to get engaged, organized, mobilized, and to vote - on every level, in every election. https://t.co/yOvaCZYtrW",2020-02-26 16:11:11.745871,Tue Feb 11 21:05:32 +0000 2020
7,1227293592860987392,BarackObama,28886,"Thirty years on, I remember the hope we all felt watching Mandela’s release from prison. The gift of a new way of seeing. The chance to participate in the work of building a better world. The ultimate example of perseverance and faith for each new generation to follow.",2020-02-26 16:11:11.746872,Tue Feb 11 18:09:29 +0000 2020
8,1226696870292008960,BarackObama,24879,"Congrats to Julia and Steven, the filmmakers behind American Factory, for telling such a complex, moving story about the very human consequences of wrenching economic change. Glad to see two talented and downright good people take home the Oscar for Higher Ground’s first release. https://t.co/W4AZ68iWoY",2020-02-26 16:11:11.746872,Mon Feb 10 02:38:19 +0000 2020
9,1223706755693187078,BarackObama,49652,"Sixty years ago today, the Greensboro Four stood up to injustice by sitting down at a lunch counter. Our journey is full of such stories; of acts of patriotic protest that challenge this country we love to live up to our highest ideals, however long it takes. #BlackHistoryMonth",2020-02-26 16:11:11.746872,Sat Feb 01 20:36:40 +0000 2020
