,tweet_id,handle,retweet_count,text,mined_at,created_at
0,1230553203181281280,HillaryClinton,2003,Advancing the rights of women and girls is the great unfinished business of the 21st century and no one has done more to push it into reality than Justice Ruth Bader Ginsburg. I was delighted to help honor her at the 2020 DVF Awards. https://t.co/D0cK5KwKSb,2020-02-21 17:05:22.423803,Thu Feb 20 18:02:00 +0000 2020
1,1230252277019090944,HillaryClinton,3297,"Small islands contribute the least to climate change but often suffer the worst of its consequences. At the CGI Action Network today, we talked about how to build resilience to natural disasters in communities on the sharp end of climate change. https://t.co/o8U1kWXHh5",2020-02-21 17:05:22.423803,Wed Feb 19 22:06:14 +0000 2020
2,1229913993155883016,HillaryClinton,1463,Such a terrific day visiting @ClintonFdn partners in Puerto Rico who are working on disaster resilience and recovery. The goals: building back better and #PuttingPeopleFirst. Tune in to https://t.co/P5Jemwrmyr over the next few days for more on this work and how you can plug in. https://t.co/6c9GWXMMP8,2020-02-21 17:05:22.423803,Tue Feb 18 23:42:01 +0000 2020
3,1228364820702990336,HillaryClinton,12986,"In the last 24 hours, the American president has:

1. Corruptly pressured a governor to drop lawsuits against him to reverse a punitive policy change

2. Claimed the power to personally direct the Justice Department to investigate anyone he wants

Our democracy is in crisis. https://t.co/ABSLtujGmn",2020-02-21 17:05:22.423803,Fri Feb 14 17:06:09 +0000 2020
4,1228355797513576448,HillaryClinton,2389,"Today, commit to #VoteforJaimeGuttenberg and an end to gun violence in America. 

Register today: https://t.co/YCbxX9bpuv

https://t.co/TSQDCY0q0b",2020-02-21 17:05:22.423803,Fri Feb 14 16:30:18 +0000 2020
5,1228355569272139776,HillaryClinton,3946,"Today, we remember #Parkland and the 17 people whose lives were cruelly taken at Marjory Stoneman Douglas High two years ago. 

In the words of @AMarch4OurLives: ""We remember them with love. We honor them with action.""",2020-02-21 17:05:22.423803,Fri Feb 14 16:29:24 +0000 2020
6,1228033652459810826,HillaryClinton,573,"For 100 years, @LWV has empowered voters and defended democracy, and that work has rarely been more crucial than it is now. 

Join their Day of Action tomorrow in your community to become a part of it: https://t.co/KRejqX9Oke #WomenPowerTheVote https://t.co/kF0yySYFmk",2020-02-21 17:05:22.423803,Thu Feb 13 19:10:13 +0000 2020
7,1227624147666292741,HillaryClinton,19004,"Trump is using the powers of the presidency like a tyrant—now, to reward accomplices and go after witnesses who dared to speak against him. This should concern and anger us all. https://t.co/fJdWKpUJIt",2020-02-21 17:05:22.423803,Wed Feb 12 16:02:59 +0000 2020
8,1227423160590577664,HillaryClinton,31783,Do you realize intimidating judges is the behavior of failed-state fascists? Just asking! https://t.co/kcEzirsGUF,2020-02-21 17:05:22.423803,Wed Feb 12 02:44:20 +0000 2020
9,1227363101340770304,HillaryClinton,28000,"On the same day:

- Two prosecutors have resigned from the DOJ to protest the administration’s intervention to lighten the sentence of one of Trump’s accomplices
- The Senate GOP blocked votes on three bills to secure our elections

The rule of law &amp; our democracy are in crisis.",2020-02-21 17:05:22.423803,Tue Feb 11 22:45:41 +0000 2020
10,1225855404304949250,HillaryClinton,1933,"I gave @TheEllenShow a little preview of #HillaryonHulu, the four-part docuseries premiering in March. It's the story of my life—but it's also the story of American women over the past 50 years. 

https://t.co/yhl5HA5ih8",2020-02-21 17:05:22.423803,Fri Feb 07 18:54:38 +0000 2020
11,1225836347140734977,HillaryClinton,10822,"During his testimony about Trump’s crimes, Lt. Col. Vindman had a message for his father: ""You made the right decision 40 years ago to leave the Soviet Union. Do not worry, I will be fine for telling the truth."" 

It’s appalling that this administration may prove him wrong. https://t.co/aB5eGQFil4",2020-02-21 17:05:22.423803,Fri Feb 07 17:38:54 +0000 2020
12,1225793079132794884,HillaryClinton,2376,"The U.S. is ranked 106th out of 193 countries on @CFR_org's new Women's Power Index, which tracks where women around the world have the most political power. We can and must do better.

https://t.co/opBSZYoC8b",2020-02-21 17:05:22.423803,Fri Feb 07 14:46:58 +0000 2020
13,1225537226601357312,HillaryClinton,2343,I happened to be booked on @TheEllenShow the day of Trump's impeachment vote. Here were my thoughts. https://t.co/vr8tSPBbZ5,2020-02-21 17:05:22.423803,Thu Feb 06 21:50:18 +0000 2020
14,1225171226139734018,HillaryClinton,7111,"If you're angry at the Republican senators who voted for a cover-up of the president's corruption, join @IndivisibleTeam—an @OnwardTogether partner—to hold them accountable for enabling Donald Trump. 
https://t.co/F7BPQSyHlU",2020-02-21 17:05:22.423803,Wed Feb 05 21:35:57 +0000 2020
15,1225171061769195520,HillaryClinton,29177,"As the president's impeachment trial began, Republican senators pledged an oath to defend the Constitution.

Today, 52 of them voted to betray that oath—and all of us.

We’re entering dangerous territory for our democracy. It’ll take all of us working together to restore it.",2020-02-21 17:05:22.423803,Wed Feb 05 21:35:18 +0000 2020
16,1224873963291140097,HillaryClinton,35965,"A great use of your next hour: 

Double-check your voter registration and ask two friends to do the same.",2020-02-21 17:05:22.423803,Wed Feb 05 01:54:44 +0000 2020
17,1224757019007246337,HillaryClinton,522,"Historian @alexiscoe's new book about George Washington, ""You Never Forget Your First,"" is a fresh perspective on the man who helped define the American presidency. 

A timely read on the eve of an impeachment vote: https://t.co/sjzlBvsYQg https://t.co/fOweQhlAzk",2020-02-21 17:05:22.423803,Tue Feb 04 18:10:02 +0000 2020
18,1224746057671815169,HillaryClinton,1762,"One thing's for sure: There's never a dull moment on political campaigns. 

Get in the mix—and help beat Trump in November—by applying to @orgcorps2020's one-week bootcamp for new organizers. Deadline tomorrow! https://t.co/ta665O7UQq",2020-02-21 17:05:22.423803,Tue Feb 04 17:26:29 +0000 2020
19,1224446515113971713,HillaryClinton,1540,"It’s not just our daughters we should raise as feminists. We should raise our sons as feminists, too. I got into why and how on the #YourPrimaryPlaylist podcast with @EmTSuss: https://t.co/rXAOTIQQDP",2020-02-21 17:05:22.423803,Mon Feb 03 21:36:12 +0000 2020
20,1224425725685649409,HillaryClinton,1631,"History, made:

Last night, @49ers offensive assistant coach @katiesowers became the first woman and the first openly LGBT person to coach a team in the Super Bowl. #gutsywomen https://t.co/Pl2Lg5AE9N https://t.co/4J34txK5Ep",2020-02-21 17:05:22.423803,Mon Feb 03 20:13:36 +0000 2020
21,1224409900241039362,HillaryClinton,6067,"Congratulations to all the organizers and volunteers who have worked so hard to get out the vote in Iowa. Today is the day! Fighting for what you believe in is always, always worth it.",2020-02-21 17:05:22.423803,Mon Feb 03 19:10:43 +0000 2020
22,1224401092869574662,HillaryClinton,3648,"On Friday, Republican senators voted to help the president cover up his attempts to use America's power for his personal gain. 

Join @onwardtogether partner @SwingLeft to start working now to vote them all out in November. https://t.co/VW9EgobU06",2020-02-21 17:05:22.423803,Mon Feb 03 18:35:43 +0000 2020
23,1223378977219280897,HillaryClinton,46730,"With their votes to make the American president accountable to no one, Republican senators have put the interests of one president over the interests of all Americans.

The only remedy now is for us all to vote in overwhelming numbers to replace them—and him—in November.",2020-02-21 17:05:22.423803,Fri Jan 31 22:54:12 +0000 2020
